target_id	length	eff_length	est_counts	tpm
Medtr1g112750	1221	1021.99	1	0.0697305
Medtr1g037670	222	49.7513	0	0
Medtr1g103660	2055	1855.99	45.4426	1.74485
Medtr1g051285	225	51.1938	0	0
Medtr1g087710	558	358.994	111	22.0347
Medtr1g069860	285	90.8271	0	0
Medtr1g051735	282	88.3726	0	0
Medtr1g052605	435	235.994	0	0
Medtr1g102010	1887	1687.99	661.232	27.9161
Medtr1g041345	2940	2740.99	455	11.8297
Medtr1g115485	2430	2230.99	0	0
Medtr1g104700	240	59.1568	4	4.81866
Medtr1g100040	1446	1246.99	5	0.285744
Medtr1g069415	243	60.9045	0	0
Medtr1g100230	1251	1051.99	0	0
Medtr1g055440	219	48.3568	0	0
Medtr1g102640	681	481.994	0	0
Medtr1g009400	315	117.392	0	0
Medtr1g013730	1149	949.994	0	0
Medtr1g085690	702	502.994	0	0
Medtr1g011380	1212	1012.99	253	17.7986
Medtr1g107085	312	114.6	0	0
Medtr1g115860	198	39.8441	0	0
Medtr1g037540	1206	1006.99	0	0
Medtr1g075400	273	81.2798	0	0
Medtr1g116565	1227	1027.99	701	48.5958
Medtr1g026890	1449	1249.99	1191	67.9009
Medtr1g106590	1029	829.994	68	5.83856
Medtr1g026290	2952	2752.99	488	12.6324
Medtr1g061240	1110	910.994	183	14.3155
Medtr1g047060	282	88.3726	0	0
Medtr1g075900	1875	1675.99	1420	60.3792
Medtr1g070320	207	43.2364	0	0
Medtr1g112870	1470	1270.99	3971	222.653
Medtr1g063310	309	111.833	5	3.18619
Medtr1g492610	837	637.994	891.651	99.5978
Medtr1g107540	1866	1666.99	989	42.2799
Medtr1g085680	1557	1357.99	34	1.78424
Medtr1g035580	1497	1297.99	0	0
Medtr1g093770	939	739.994	232	22.3425
Medtr1g016790	198	39.8441	15	26.8286
Medtr1g033110	183	34.9456	0	0
Medtr1g038570	1878	1678.99	312	13.2427
Medtr1g032560	519	319.994	0	0
Medtr1g086350	1173	973.994	166	12.1457
Medtr1g088970	498	298.994	5	1.19173
Medtr1g021915	738	538.994	23	3.04099
Medtr1g080420	4410	4210.99	654	11.0679
Medtr1g107515	408	208.997	4	1.36393
Medtr1g024975	327	128.77	0	0
Medtr1g099350	876	676.994	0	0
Medtr1g041495	609	409.994	247	42.933
Medtr1g026240	678	478.994	0	0
Medtr1g047000	171	31.6189	0	0
Medtr1g025500	3063	2863.99	227	5.6484
Medtr1g045900	429	229.994	456.542	141.46
Medtr1g015540	2322	2122.99	1	0.0335678
Medtr1g015900	435	235.994	0	0
Medtr1g103850	2130	1930.99	67	2.47266
Medtr1g018130	861	661.994	2	0.215302
Medtr1g031700	1500	1300.99	0	0
Medtr1g053955	6135	5935.99	442	5.3064
Medtr1g016235	255	68.4256	2	2.08297
Medtr1g089180	1395	1195.99	184	10.9638
Medtr1g008950	390	191.008	0	0
Medtr1g016230	3171	2971.99	2674	64.1187
Medtr1g032610	3354	3154.99	103.047	2.3276
Medtr1g094980	1848	1648.99	669	28.912
Medtr1g092670	240	59.1568	1020	1228.76
Medtr1g052875	627	427.994	0	0
Medtr1g115540	276	83.5974	0	0
Medtr1g051685	234	55.8184	0	0
Medtr1g097390	1308	1108.99	131	8.41809
Medtr1g041330	255	68.4256	0	0
Medtr1g021460	465	265.994	0	0
Medtr1g041810	768	568.994	0	0
Medtr1g091420	186	35.8555	0	0
Medtr1g057010	273	81.2798	0	0
Medtr1g104830	183	34.9456	0	0
Medtr1g041475	825	625.994	17	1.93531
Medtr1g039310	3504	3304.99	0.00516103	0.000111285
Medtr1g029620	3030	2830.99	325	8.18118
Medtr1g492600	474	274.994	183.043	47.4354
Medtr1g036630	345	146.283	0	0
Medtr1g007170	918	718.994	73	7.23551
Medtr1g090650	567	367.994	17	3.29215
Medtr1g010300	6618	6418.99	525	5.82859
Medtr1g117130	441	241.994	0	0
Medtr1g115550	984	784.994	166	15.07
Medtr1g077420	807	607.994	107	12.5417
Medtr1g034340	588	388.994	114	20.885
Medtr1g020980	204	42.065	0	0
Medtr1g090760	1005	805.994	0	0
Medtr1g008050	4389	4189.99	4	0.0680327
Medtr1g047100	426	226.994	0	0
Medtr1g014080	1914	1714.99	2165.23	89.9731
Medtr1g080510	282	88.3726	4	3.22562
Medtr1g070035	666	466.994	57	8.69832
Medtr1g025750	255	68.4256	0	0
Medtr1g087960	456	256.994	0	0
