target_id	length	eff_length	est_counts	tpm
Medtr1g112750	1221	1054.35	0	0
Medtr1g037670	222	57.3623	0	0
Medtr1g103660	2055	1888.35	6.57143	0.0350831
Medtr1g051285	225	60.2917	0	0
Medtr1g087710	558	391.432	0	0
Medtr1g069860	285	119.683	0	0
Medtr1g051735	282	116.731	0	0
Medtr1g052605	435	268.651	0	0
Medtr1g102010	1887	1720.35	807.43	4.73162
Medtr1g041345	2940	2773.35	658	2.39189
Medtr1g115485	2430	2263.35	0	0
Medtr1g104700	240	75.0643	0	0
Medtr1g100040	1446	1279.35	0	0
Medtr1g069415	243	78.041	0	0
Medtr1g100230	1251	1084.35	5	0.046486
Medtr1g055440	219	54.4918	0	0
Medtr1g102640	681	514.347	0	0
Medtr1g009400	315	149.468	0	0
Medtr1g013730	1149	982.347	0	0
Medtr1g085690	702	535.347	0	0
Medtr1g011380	1212	1045.35	206	1.98668
Medtr1g107085	312	146.497	4	0.275265
Medtr1g115860	198	35.1252	0	0
Medtr1g037540	1206	1039.35	0	0
Medtr1g075400	273	107.799	0	0
Medtr1g116565	1227	1060.35	207	1.96808
Medtr1g026890	1449	1282.35	31	0.243712
Medtr1g106590	1029	862.347	29	0.339029
Medtr1g026290	2952	2785.35	736	2.66391
Medtr1g061240	1110	943.347	56	0.598462
Medtr1g047060	282	116.731	0	0
Medtr1g075900	1875	1708.35	524	3.09226
Medtr1g070320	207	43.0731	0	0
Medtr1g112870	1470	1303.35	2677	20.7066
Medtr1g063310	309	143.512	0	0
Medtr1g492610	837	670.347	243.678	3.66469
Medtr1g107540	1866	1699.35	588	3.48831
Medtr1g085680	1557	1390.35	414	3.00191
Medtr1g035580	1497	1330.35	0	0
Medtr1g093770	939	772.347	263	3.43292
Medtr1g016790	198	35.1252	94	26.9792
Medtr1g033110	183	24.2729	0	0
Medtr1g038570	1878	1711.35	253	1.4904
Medtr1g032560	519	352.468	15	0.429035
Medtr1g086350	1173	1006.35	400	4.00712
Medtr1g088970	498	331.502	1	0.0304112
Medtr1g021915	738	571.347	14	0.247029
Medtr1g080420	4410	4243.35	309	0.734126
Medtr1g107515	408	241.854	0	0
Medtr1g024975	327	161.295	0	0
Medtr1g099350	876	709.347	0	0
Medtr1g041495	609	442.347	188	4.28465
Medtr1g026240	678	511.347	0	0
Medtr1g047000	171	22.0445	0	0
Medtr1g025500	3063	2896.35	543	1.89003
Medtr1g045900	429	262.704	1022.16	39.2261
Medtr1g015540	2322	2155.35	1	0.00467739
Medtr1g015900	435	268.651	0	0
Medtr1g103850	2130	1963.35	33	0.169448
Medtr1g018130	861	694.347	0	0
Medtr1g031700	1500	1333.35	0	0
Medtr1g053955	6135	5968.35	288	0.486473
Medtr1g016235	255	89.9669	405	45.383
Medtr1g089180	1395	1228.35	17	0.139524
Medtr1g008950	390	223.876	0	0
Medtr1g016230	3171	3004.35	30608	102.708
Medtr1g032610	3354	3187.35	61	0.192939
Medtr1g094980	1848	1681.35	340	2.03865
Medtr1g092670	240	75.0643	400	53.7214
Medtr1g052875	627	460.347	0	0
Medtr1g115540	276	110.777	0	0
Medtr1g051685	234	69.1508	0	0
Medtr1g097390	1308	1141.35	14	0.12366
Medtr1g041330	255	89.9669	0	0
Medtr1g021460	465	298.593	0	0
Medtr1g041810	768	601.347	1	0.0167647
Medtr1g091420	186	25.9528	0	0
Medtr1g057010	273	107.799	10	0.9352
Medtr1g104830	183	24.2729	0	0
Medtr1g041475	825	658.347	0	0
Medtr1g039310	3504	3337.35	0	0
Medtr1g029620	3030	2863.35	3113	10.9604
Medtr1g492600	474	307.533	22.1336	0.725571
Medtr1g036630	345	179.139	0	0
Medtr1g007170	918	751.347	10	0.134178
Medtr1g090650	567	400.432	0	0
Medtr1g010300	6618	6451.35	537	0.839159
Medtr1g117130	441	274.651	0	0
Medtr1g115550	984	817.347	61	0.752391
Medtr1g077420	807	640.347	48	0.755694
Medtr1g034340	588	421.391	87	2.0814
Medtr1g020980	204	40.3249	0	0
Medtr1g090760	1005	838.347	0	0
Medtr1g008050	4389	4222.35	12	0.0286515
Medtr1g047100	426	259.73	0	0
Medtr1g014080	1914	1747.35	349	2.01357
Medtr1g080510	282	116.731	0	0
Medtr1g070035	666	499.347	0	0
Medtr1g025750	255	89.9669	0	0
Medtr1g087960	456	289.622	0	0
