target_id	length	eff_length	est_counts	tpm
Medtr1g112750	1221	1021.99	17	1.01072
Medtr1g037670	222	49.7513	0	0
Medtr1g103660	2055	1855.99	36.3243	1.18919
Medtr1g051285	225	51.1938	0	0
Medtr1g087710	558	358.994	76	12.8635
Medtr1g069860	285	90.8271	0	0
Medtr1g051735	282	88.3726	0	0
Medtr1g052605	435	235.994	0	0
Medtr1g102010	1887	1687.99	339.398	12.2171
Medtr1g041345	2940	2740.99	449	9.95335
Medtr1g115485	2430	2230.99	0	0
Medtr1g104700	240	59.1568	6	6.16279
Medtr1g100040	1446	1246.99	2	0.0974533
Medtr1g069415	243	60.9045	1	0.997658
Medtr1g100230	1251	1051.99	0	0
Medtr1g055440	219	48.3568	0	0
Medtr1g102640	681	481.994	0	0
Medtr1g009400	315	117.392	0	0
Medtr1g013730	1149	949.994	0	0
Medtr1g085690	702	502.994	0	0
Medtr1g011380	1212	1012.99	286	17.155
Medtr1g107085	312	114.6	152	80.5916
Medtr1g115860	198	39.8441	0	0
Medtr1g037540	1206	1006.99	0	0
Medtr1g075400	273	81.2798	0	0
Medtr1g116565	1227	1027.99	471	27.8395
Medtr1g026890	1449	1249.99	722	35.0962
Medtr1g106590	1029	829.994	58	4.24604
Medtr1g026290	2952	2752.99	849	18.7384
Medtr1g061240	1110	910.994	126	8.404
Medtr1g047060	282	88.3726	0	0
Medtr1g075900	1875	1675.99	940	34.079
Medtr1g070320	207	43.2364	0	0
Medtr1g112870	1470	1270.99	3255	155.61
Medtr1g063310	309	111.833	1	0.543328
Medtr1g492610	837	637.994	1076.59	102.534
Medtr1g107540	1866	1666.99	1181	43.0474
Medtr1g085680	1557	1357.99	14	0.626414
Medtr1g035580	1497	1297.99	0	0
Medtr1g093770	939	739.994	236	19.3783
Medtr1g016790	198	39.8441	12	18.2999
Medtr1g033110	183	34.9456	0	0
Medtr1g038570	1878	1678.99	214	7.74454
Medtr1g032560	519	319.994	4	0.759538
Medtr1g086350	1173	973.994	610	38.0544
Medtr1g088970	498	298.994	20	4.06442
Medtr1g021915	738	538.994	44	4.96021
Medtr1g080420	4410	4210.99	475	6.85393
Medtr1g107515	408	208.997	2	0.581462
Medtr1g024975	327	128.77	0	0
Medtr1g099350	876	676.994	0	0
Medtr1g041495	609	409.994	195	28.8994
Medtr1g026240	678	478.994	0	0
Medtr1g047000	171	31.6189	0	0
Medtr1g025500	3063	2863.99	271	5.74947
Medtr1g045900	429	229.994	590.18	155.919
Medtr1g015540	2322	2122.99	0	0
Medtr1g015900	435	235.994	0	0
Medtr1g103850	2130	1930.99	59	1.85653
Medtr1g018130	861	661.994	1	0.0917861
Medtr1g031700	1500	1300.99	0	0
Medtr1g053955	6135	5935.99	283	2.89684
Medtr1g016235	255	68.4256	21	18.648
Medtr1g089180	1395	1195.99	393	19.9662
Medtr1g008950	390	191.008	0	0
Medtr1g016230	3171	2971.99	2786	56.9592
Medtr1g032610	3354	3154.99	80.2004	1.54457
Medtr1g094980	1848	1648.99	510	18.7924
Medtr1g092670	240	59.1568	1086	1115.47
Medtr1g052875	627	427.994	0	0
Medtr1g115540	276	83.5974	0	0
Medtr1g051685	234	55.8184	0	0
Medtr1g097390	1308	1108.99	83	4.54758
Medtr1g041330	255	68.4256	0	0
Medtr1g021460	465	265.994	0	0
Medtr1g041810	768	568.994	0	0
Medtr1g091420	186	35.8555	0	0
Medtr1g057010	273	81.2798	1	0.747564
Medtr1g104830	183	34.9456	0	0
Medtr1g041475	825	625.994	10	0.970646
Medtr1g039310	3504	3304.99	0	0
Medtr1g029620	3030	2830.99	226	4.85066
Medtr1g492600	474	274.994	185.012	40.8798
Medtr1g036630	345	146.283	0	0
Medtr1g007170	918	718.994	42	3.5494
Medtr1g090650	567	367.994	19	3.13722
Medtr1g010300	6618	6418.99	355	3.36041
Medtr1g117130	441	241.994	0	0
Medtr1g115550	984	784.994	157	12.1525
Medtr1g077420	807	607.994	69	6.89574
Medtr1g034340	588	388.994	85	13.2772
Medtr1g020980	204	42.065	0	0
Medtr1g090760	1005	805.994	0	0
Medtr1g008050	4389	4189.99	1	0.0145017
Medtr1g047100	426	226.994	0	0
Medtr1g014080	1914	1714.99	1352.77	47.9285
Medtr1g080510	282	88.3726	13	8.93833
Medtr1g070035	666	466.994	52	6.76587
Medtr1g025750	255	68.4256	0	0
Medtr1g087960	456	256.994	0	0
