target_id	length	eff_length	est_counts	tpm
Medtr1g112750	1221	1021.99	21	1.80368
Medtr1g037670	222	49.7513	0	0
Medtr1g103660	2055	1855.99	59.6591	2.82156
Medtr1g051285	225	51.1938	0	0
Medtr1g087710	558	358.994	212	51.8368
Medtr1g069860	285	90.8271	0	0
Medtr1g051735	282	88.3726	0	0
Medtr1g052605	435	235.994	0	0
Medtr1g102010	1887	1687.99	458.072	23.8206
Medtr1g041345	2940	2740.99	516	16.5246
Medtr1g115485	2430	2230.99	0	0
Medtr1g104700	240	59.1568	4	5.93532
Medtr1g100040	1446	1246.99	6	0.422354
Medtr1g069415	243	60.9045	0	0
Medtr1g100230	1251	1051.99	0	0
Medtr1g055440	219	48.3568	0	0
Medtr1g102640	681	481.994	1	0.182116
Medtr1g009400	315	117.392	0	0
Medtr1g013730	1149	949.994	0	0
Medtr1g085690	702	502.994	0	0
Medtr1g011380	1212	1012.99	202	17.5039
Medtr1g107085	312	114.6	1	0.765957
Medtr1g115860	198	39.8441	0	0
Medtr1g037540	1206	1006.99	0	0
Medtr1g075400	273	81.2798	0	0
Medtr1g116565	1227	1027.99	570	48.6714
Medtr1g026890	1449	1249.99	982	68.9593
Medtr1g106590	1029	829.994	61	6.45126
Medtr1g026290	2952	2752.99	370	11.7974
Medtr1g061240	1110	910.994	153	14.7423
Medtr1g047060	282	88.3726	0	0
Medtr1g075900	1875	1675.99	1077.74	56.4459
Medtr1g070320	207	43.2364	0	0
Medtr1g112870	1470	1270.99	3315	228.944
Medtr1g063310	309	111.833	1	0.784911
Medtr1g492610	837	637.994	829.96	114.191
Medtr1g107540	1866	1666.99	864	45.4956
Medtr1g085680	1557	1357.99	59	3.81367
Medtr1g035580	1497	1297.99	0	0
Medtr1g093770	939	739.994	221	26.2152
Medtr1g016790	198	39.8441	14	30.8428
Medtr1g033110	183	34.9456	0	0
Medtr1g038570	1878	1678.99	231	12.0768
Medtr1g032560	519	319.994	5	1.37157
Medtr1g086350	1173	973.994	218	19.6467
Medtr1g088970	498	298.994	8	2.34865
Medtr1g021915	738	538.994	37	6.0257
Medtr1g080420	4410	4210.99	539	11.2355
Medtr1g107515	408	208.997	3	1.26
Medtr1g024975	327	128.77	0	0
Medtr1g099350	876	676.994	1	0.12966
Medtr1g041495	609	409.994	176	37.6812
Medtr1g026240	678	478.994	0	0
Medtr1g047000	171	31.6189	0	0
Medtr1g025500	3063	2863.99	182	5.57813
Medtr1g045900	429	229.994	352.929	134.698
Medtr1g015540	2322	2122.99	0	0
Medtr1g015900	435	235.994	0	0
Medtr1g103850	2130	1930.99	50	2.27289
Medtr1g018130	861	661.994	1	0.132598
Medtr1g031700	1500	1300.99	0	0
Medtr1g053955	6135	5935.99	328	4.85031
Medtr1g016235	255	68.4256	2	2.56567
Medtr1g089180	1395	1195.99	235	17.2476
Medtr1g008950	390	191.008	0	0
Medtr1g016230	3171	2971.99	2405	71.0324
Medtr1g032610	3354	3154.99	106.957	2.97579
Medtr1g094980	1848	1648.99	465	24.7527
Medtr1g092670	240	59.1568	884	1311.71
Medtr1g052875	627	427.994	0	0
Medtr1g115540	276	83.5974	0	0
Medtr1g051685	234	55.8184	0	0
Medtr1g097390	1308	1108.99	86	6.80705
Medtr1g041330	255	68.4256	0	0
Medtr1g021460	465	265.994	0	0
Medtr1g041810	768	568.994	0	0
Medtr1g091420	186	35.8555	0	0
Medtr1g057010	273	81.2798	0	0
Medtr1g104830	183	34.9456	0	0
Medtr1g041475	825	625.994	14	1.96312
Medtr1g039310	3504	3304.99	0	0
Medtr1g029620	3030	2830.99	256	7.93762
Medtr1g492600	474	274.994	116.637	37.231
Medtr1g036630	345	146.283	0	0
Medtr1g007170	918	718.994	45	5.49385
Medtr1g090650	567	367.994	11	2.62387
Medtr1g010300	6618	6418.99	396	5.41524
Medtr1g117130	441	241.994	0	0
Medtr1g115550	984	784.994	152	16.9968
Medtr1g077420	807	607.994	75	10.8281
Medtr1g034340	588	388.994	126.55	28.5568
Medtr1g020980	204	42.065	0	0
Medtr1g090760	1005	805.994	0	0
Medtr1g008050	4389	4189.99	0	0
Medtr1g047100	426	226.994	0	0
Medtr1g014080	1914	1714.99	1782.93	91.256
Medtr1g080510	282	88.3726	13	12.9126
Medtr1g070035	666	466.994	44.1365	8.29614
Medtr1g025750	255	68.4256	0	0
Medtr1g087960	456	256.994	0	0
