target_id	length	eff_length	est_counts	tpm
Medtr1g112750	1221	1021.99	6	0.210343
Medtr1g037670	222	49.7513	0	0
Medtr1g103660	2055	1855.99	74.2	1.43236
Medtr1g051285	225	51.1938	0	0
Medtr1g087710	558	358.994	123	12.2756
Medtr1g069860	285	90.8271	0	0
Medtr1g051735	282	88.3726	0	0
Medtr1g052605	435	235.994	0	0
Medtr1g102010	1887	1687.99	843.771	17.9093
Medtr1g041345	2940	2740.99	640	8.36559
Medtr1g115485	2430	2230.99	0	0
Medtr1g104700	240	59.1568	3	1.81694
Medtr1g100040	1446	1246.99	12	0.34478
Medtr1g069415	243	60.9045	0	0
Medtr1g100230	1251	1051.99	0	0
Medtr1g055440	219	48.3568	0	0
Medtr1g102640	681	481.994	1	0.0743333
Medtr1g009400	315	117.392	0	0
Medtr1g013730	1149	949.994	0	0
Medtr1g085690	702	502.994	0	0
Medtr1g011380	1212	1012.99	499	17.6489
Medtr1g107085	312	114.6	284	88.7888
Medtr1g115860	198	39.8441	0	0
Medtr1g037540	1206	1006.99	0	0
Medtr1g075400	273	81.2798	0	0
Medtr1g116565	1227	1027.99	886	30.8793
Medtr1g026890	1449	1249.99	1254	35.943
Medtr1g106590	1029	829.994	84	3.62601
Medtr1g026290	2952	2752.99	1864	24.2586
Medtr1g061240	1110	910.994	176	6.92184
Medtr1g047060	282	88.3726	0	0
Medtr1g075900	1875	1675.99	1886	40.3175
Medtr1g070320	207	43.2364	0	0
Medtr1g112870	1470	1270.99	7095	200.002
Medtr1g063310	309	111.833	2	0.640745
Medtr1g492610	837	637.994	1683.3	94.5303
Medtr1g107540	1866	1666.99	2146	46.1233
Medtr1g085680	1557	1357.99	32	0.844261
Medtr1g035580	1497	1297.99	0	0
Medtr1g093770	939	739.994	470	22.7559
Medtr1g016790	198	39.8441	11	9.89129
Medtr1g033110	183	34.9456	0	0
Medtr1g038570	1878	1678.99	491	10.4775
Medtr1g032560	519	319.994	2	0.22393
Medtr1g086350	1173	973.994	829	30.4946
Medtr1g088970	498	298.994	8	0.958633
Medtr1g021915	738	538.994	72	4.78601
Medtr1g080420	4410	4210.99	910	7.7425
Medtr1g107515	408	208.997	3	0.514287
Medtr1g024975	327	128.77	0	0
Medtr1g099350	876	676.994	0	0
Medtr1g041495	609	409.994	271	23.6819
Medtr1g026240	678	478.994	0	0
Medtr1g047000	171	31.6189	0	0
Medtr1g025500	3063	2863.99	588	7.3558
Medtr1g045900	429	229.994	1175.18	183.067
Medtr1g015540	2322	2122.99	3	0.0506287
Medtr1g015900	435	235.994	0	0
Medtr1g103850	2130	1930.99	73	1.35446
Medtr1g018130	861	661.994	0	0
Medtr1g031700	1500	1300.99	0	0
Medtr1g053955	6135	5935.99	611	3.68784
Medtr1g016235	255	68.4256	38	19.8971
Medtr1g089180	1395	1195.99	773	23.1566
Medtr1g008950	390	191.008	0	0
Medtr1g016230	3171	2971.99	6042.99	72.8498
Medtr1g032610	3354	3154.99	170.275	1.93364
Medtr1g094980	1848	1648.99	972	21.1189
Medtr1g092670	240	59.1568	1456	881.822
Medtr1g052875	627	427.994	0	0
Medtr1g115540	276	83.5974	0	0
Medtr1g051685	234	55.8184	1	0.64187
Medtr1g097390	1308	1108.99	161	5.20141
Medtr1g041330	255	68.4256	0	0
Medtr1g021460	465	265.994	0	0
Medtr1g041810	768	568.994	0	0
Medtr1g091420	186	35.8555	0	0
Medtr1g057010	273	81.2798	0	0
Medtr1g104830	183	34.9456	0	0
Medtr1g041475	825	625.994	5	0.28617
Medtr1g039310	3504	3304.99	0	0
Medtr1g029620	3030	2830.99	391	4.94837
Medtr1g492600	474	274.994	161.755	21.0747
Medtr1g036630	345	146.283	0	0
Medtr1g007170	918	718.994	76	3.78715
Medtr1g090650	567	367.994	17	1.65513
Medtr1g010300	6618	6418.99	970	5.41414
Medtr1g117130	441	241.994	1	0.148054
Medtr1g115550	984	784.994	263	12.0037
Medtr1g077420	807	607.994	121	7.13035
Medtr1g034340	588	388.994	199	18.3288
Medtr1g020980	204	42.065	0	0
Medtr1g090760	1005	805.994	0	0
Medtr1g008050	4389	4189.99	6	0.0513053
Medtr1g047100	426	226.994	0	0
Medtr1g014080	1914	1714.99	2686.91	56.1326
Medtr1g080510	282	88.3726	24	9.73012
Medtr1g070035	666	466.994	73.869	5.66729
Medtr1g025750	255	68.4256	0	0
Medtr1g087960	456	256.994	0	0
