target_id	length	eff_length	est_counts	tpm
Medtr1g112750	1221	1047.37	178	1.80451
Medtr1g037670	222	50.6122	0	0
Medtr1g103660	2055	1881.37	91.7416	0.517764
Medtr1g051285	225	53.3319	0	0
Medtr1g087710	558	384.366	42	1.16023
Medtr1g069860	285	112.135	0	0
Medtr1g051735	282	109.146	0	0
Medtr1g052605	435	261.572	0	0
Medtr1g102010	1887	1713.37	409.967	2.54061
Medtr1g041345	2940	2766.37	4246	16.2971
Medtr1g115485	2430	2256.37	3	0.0141173
Medtr1g104700	240	67.6323	0	0
Medtr1g100040	1446	1272.37	15	0.125175
Medtr1g069415	243	70.556	0	0
Medtr1g100230	1251	1077.37	0	0
Medtr1g055440	219	47.9888	0	0
Medtr1g102640	681	507.366	3	0.0627825
Medtr1g009400	315	142.021	0	0
Medtr1g013730	1149	975.366	0	0
Medtr1g085690	702	528.366	11	0.221053
Medtr1g011380	1212	1038.37	941	9.62228
Medtr1g107085	312	139.049	259	19.7775
Medtr1g115860	198	31.4898	0	0
Medtr1g037540	1206	1032.37	0	0
Medtr1g075400	273	100.198	0	0
Medtr1g116565	1227	1053.37	1251	12.6101
Medtr1g026890	1449	1275.37	696	5.79446
Medtr1g106590	1029	855.366	206	2.55714
Medtr1g026290	2952	2778.37	3565	13.6241
Medtr1g061240	1110	936.366	364	4.12757
Medtr1g047060	282	109.146	0	0
Medtr1g075900	1875	1701.37	5606	34.986
Medtr1g070320	207	38.0386	0	0
Medtr1g112870	1470	1296.37	7672	62.8376
Medtr1g063310	309	136.049	0	0
Medtr1g492610	837	663.366	1138.34	18.2203
Medtr1g107540	1866	1692.37	2814	17.655
Medtr1g085680	1557	1383.37	204	1.56578
Medtr1g035580	1497	1323.37	0	0
Medtr1g093770	939	765.366	685	9.50299
Medtr1g016790	198	31.4898	447	150.722
Medtr1g033110	183	22.26	0	0
Medtr1g038570	1878	1704.37	600	3.7379
Medtr1g032560	519	345.404	0	0
Medtr1g086350	1173	999.366	1234	13.1108
Medtr1g088970	498	324.404	8	0.261844
Medtr1g021915	738	564.366	16	0.301022
Medtr1g080420	4410	4236.37	1854	4.64681
Medtr1g107515	408	234.619	13	0.588327
Medtr1g024975	327	153.962	0	0
Medtr1g099350	876	702.366	0	0
Medtr1g041495	609	435.366	787	19.1937
Medtr1g026240	678	504.366	0	0
Medtr1g047000	171	18.3486	0	0
Medtr1g025500	3063	2889.37	1399	5.14108
Medtr1g045900	429	255.572	2772.67	115.192
Medtr1g015540	2322	2148.37	3	0.0148269
Medtr1g015900	435	261.572	4.59376	0.186473
Medtr1g103850	2130	1956.37	93	0.504745
Medtr1g018130	861	687.366	3	0.0463417
Medtr1g031700	1500	1326.37	5.84974	0.0468287
Medtr1g053955	6135	5961.37	2744	4.88739
Medtr1g016235	255	82.312	27	3.48289
Medtr1g089180	1395	1221.37	389	3.38176
Medtr1g008950	390	216.642	0	0
Medtr1g016230	3171	2997.37	7354	26.0509
Medtr1g032610	3354	3180.37	592.312	1.97748
Medtr1g094980	1848	1674.37	1737	11.0151
Medtr1g092670	240	67.6323	2401	376.944
Medtr1g052875	627	453.366	0	0
Medtr1g115540	276	103.198	0	0
Medtr1g051685	234	61.8268	0	0
Medtr1g097390	1308	1134.37	425	3.97809
Medtr1g041330	255	82.312	0	0
Medtr1g021460	465	291.464	0	0
Medtr1g041810	768	594.366	0	0
Medtr1g091420	186	23.8401	0	0
Medtr1g057010	273	100.198	2	0.211938
Medtr1g104830	183	22.26	0	0
Medtr1g041475	825	651.366	13	0.211913
Medtr1g039310	3504	3330.37	0	0
Medtr1g029620	3030	2856.37	279	1.03712
Medtr1g492600	474	300.435	77.0226	2.72212
Medtr1g036630	345	171.833	0	0
Medtr1g007170	918	744.366	72	1.02703
Medtr1g090650	567	393.366	50	1.34962
Medtr1g010300	6618	6444.37	1711	2.81909
Medtr1g117130	441	267.519	0	0
Medtr1g115550	984	810.366	525	6.87887
Medtr1g077420	807	633.366	253	4.24135
Medtr1g034340	588	414.366	137	3.51055
Medtr1g020980	204	35.6965	0	0
Medtr1g090760	1005	831.366	0	0
Medtr1g008050	4389	4215.37	9	0.0226697
Medtr1g047100	426	252.572	0	0
Medtr1g014080	1914	1740.37	3793.54	23.1442
Medtr1g080510	282	109.146	6	0.58369
Medtr1g070035	666	492.366	24	0.517561
Medtr1g025750	255	82.312	0	0
Medtr1g087960	456	282.464	0	0
