target_id	length	eff_length	est_counts	tpm
Medtr1g112750	1221	1045.16	0	0
Medtr1g037670	222	53.1803	0	0
Medtr1g103660	2055	1879.16	9	0.0491935
Medtr1g051285	225	55.5297	0	0
Medtr1g087710	558	382.486	0	0
Medtr1g069860	285	111.342	0	0
Medtr1g051735	282	108.397	0	0
Medtr1g052605	435	259.878	0	0
Medtr1g102010	1887	1711.16	1767.49	10.6095
Medtr1g041345	2940	2764.16	834	3.09908
Medtr1g115485	2430	2254.16	0	0
Medtr1g104700	240	68.4727	0	0
Medtr1g100040	1446	1270.16	0	0
Medtr1g069415	243	71.2141	0	0
Medtr1g100230	1251	1075.16	3	0.02866
Medtr1g055440	219	50.9061	0	0
Medtr1g102640	681	505.217	6	0.121984
Medtr1g009400	315	140.818	0	0
Medtr1g013730	1149	973.164	3	0.031664
Medtr1g085690	702	526.217	0	0
Medtr1g011380	1212	1036.16	146	1.44729
Medtr1g107085	312	137.846	22	1.6393
Medtr1g115860	198	37.0044	0	0
Medtr1g037540	1206	1030.16	0	0
Medtr1g075400	273	99.6386	0	0
Medtr1g116565	1227	1051.16	175	1.71001
Medtr1g026890	1449	1273.16	50	0.403381
Medtr1g106590	1029	853.164	19	0.228745
Medtr1g026290	2952	2776.16	687	2.5418
Medtr1g061240	1110	934.164	37	0.406826
Medtr1g047060	282	108.397	0	0
Medtr1g075900	1875	1699.16	1028	6.21424
Medtr1g070320	207	42.6166	0	0
Medtr1g112870	1470	1294.16	2526	20.0481
Medtr1g063310	309	134.9	0	0
Medtr1g492610	837	661.164	196.063	3.04591
Medtr1g107540	1866	1690.16	457	2.77727
Medtr1g085680	1557	1381.16	150	1.11552
Medtr1g035580	1497	1321.16	0	0
Medtr1g093770	939	763.164	127	1.70929
Medtr1g016790	198	37.0044	58	16.0992
Medtr1g033110	183	29.8501	0	0
Medtr1g038570	1878	1702.16	126	0.760325
Medtr1g032560	519	343.56	83	2.48145
Medtr1g086350	1173	997.164	270	2.78117
Medtr1g088970	498	322.725	19	0.604715
Medtr1g021915	738	562.164	0	0
Medtr1g080420	4410	4234.16	383	0.929097
Medtr1g107515	408	233.048	0	0
Medtr1g024975	327	152.715	0	0
Medtr1g099350	876	700.164	0	0
Medtr1g041495	609	433.409	65	1.54044
Medtr1g026240	678	502.217	0	0
Medtr1g047000	171	30.8101	0	0
Medtr1g025500	3063	2887.16	299	1.06373
Medtr1g045900	429	253.904	707.941	28.6391
Medtr1g015540	2322	2146.16	0	0
Medtr1g015900	435	259.878	0	0
Medtr1g103850	2130	1954.16	276	1.4507
Medtr1g018130	861	685.164	2	0.0299824
Medtr1g031700	1500	1324.16	0	0
Medtr1g053955	6135	5959.16	378	0.651533
Medtr1g016235	255	82.369	113	14.0911
Medtr1g089180	1395	1219.16	28	0.235899
Medtr1g008950	390	215.137	0	0
Medtr1g016230	3171	2995.16	28041	96.1619
Medtr1g032610	3354	3178.16	42	0.135739
Medtr1g094980	1848	1672.16	360	2.21133
Medtr1g092670	240	68.4727	384	57.6029
Medtr1g052875	627	451.409	1	0.0227541
Medtr1g115540	276	102.547	0	0
Medtr1g051685	234	63.1026	0	0
Medtr1g097390	1308	1132.16	80	0.72579
Medtr1g041330	255	82.369	0	0
Medtr1g021460	465	289.878	1	0.0354336
Medtr1g041810	768	592.164	0	0
Medtr1g091420	186	30.8707	0	0
Medtr1g057010	273	99.6386	0	0
Medtr1g104830	183	29.8501	0	0
Medtr1g041475	825	649.164	0	0
Medtr1g039310	3504	3328.16	4	0.0123448
Medtr1g029620	3030	2854.16	2129	7.66173
Medtr1g492600	474	298.848	77.2898	2.65645
Medtr1g036630	345	170.553	0	0
Medtr1g007170	918	742.164	12	0.166078
Medtr1g090650	567	391.409	0	0
Medtr1g010300	6618	6442.16	740	1.17986
Medtr1g117130	441	265.878	9	0.347689
Medtr1g115550	984	808.164	107	1.35992
Medtr1g077420	807	631.164	48	0.781141
Medtr1g034340	588	412.409	92.9565	2.31516
Medtr1g020980	204	40.6353	0	0
Medtr1g090760	1005	829.164	0	0
Medtr1g008050	4389	4213.16	20	0.0487587
Medtr1g047100	426	250.904	0	0
Medtr1g014080	1914	1738.16	540.845	3.19604
Medtr1g080510	282	108.397	0	0
Medtr1g070035	666	490.267	0	0
Medtr1g025750	255	82.369	0	0
Medtr1g087960	456	280.878	0	0
